age,gender,district,monthly_income,ridehailing_app,p_pickmepreference,p_pickmepurpose,p_pickmefrequency,p_pickmevehicle,p_pickmetime,p_pickmepayment,p_pickmepass,u_uberpreference,u_uberpurpose,u_uberfrequency,u_ubervehicle,u_ubertime,u_uberpayment,u_uberone,b_preference,b_switchingfrequency,b_purpose,b_frequency,b_time,b_pickmevehicle,b_ubervehicle,b_paymentmethod,b_pickmepass,b_uberone,Cluster,cluster_label
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,often,"comfort and convenience, lack of public transport options, commuting to work, healthcare appointments, weather, special occasions, emergencies",weekly,don't have a specific time,tuk,"tuk, moto",both cash & card,yes,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,emergencies,occasionally,don't have a specific time,tuk,tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, geographic coverage differences, urgency or convenience",often,"lack of public transport options, special occasions, emergencies",occasionally,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
under 18,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, driver quality differences",often,"comfort and convenience, shopping errands, school or education",monthly,don't have a specific time,"tuk, bike",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,when one app has service downtime,rarely,emergencies,occasionally,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,better driver availability,often,social or leisure activities,weekly,don't have a specific time,tuk,tuk,card,yes,yes,0,Flexible Weekly Dual-App Users
18-25,prefer not to say,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, urgency or convenience",rarely,"comfort and convenience, school or education, weather, special occasions, emergencies",monthly,don't have a specific time,"tuk, car, minivan","minivan, moto, green",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,"comfort and convenience, healthcare appointments, weather, special occasions, emergencies",occasionally,don't have a specific time,"tuk, bike, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,rarely,"healthcare appointments, group travel, special occasions, emergencies",occasionally,don't have a specific time,"tuk, car","tuk, zip",card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"comfort and convenience, emergencies",weekly,don't have a specific time,"tuk, bike","tuk, moto",cash,no,no,0,Flexible Weekly Dual-App Users
